title,slug,youtube_id,playlist_id,url
Fox News,fox-news,UCXIJgqnII2ZOINSWNOGFThA,UUXIJgqnII2ZOINSWNOGFThA,https://www.youtube.com/user/FoxNewsChannel
CNN,cnn,UCupvZG-5ko_eiXAupbDfxWw,UUupvZG-5ko_eiXAupbDfxWw,https://www.youtube.com/user/CNN
MSNBC,msnbc,UCaXkIU1QidjPwiAYu6GcHjg,UUaXkIU1QidjPwiAYu6GcHjg,https://www.youtube.com/user/msnbcleanforward
CBS News,cbs-news,UC8p1vwvWtl6T73JiExfWs1g,UU8p1vwvWtl6T73JiExfWs1g,https://www.youtube.com/user/CBSNewsOnline
ABC News,abc-news,UCBi2mrWuNuyYy4gbM6fU18Q,UUBi2mrWuNuyYy4gbM6fU18Q,https://www.youtube.com/user/ABCNews
CNBC,cnbc,UCvJJ_dzjViJCoLf5uKUTwoA,UUvJJ_dzjViJCoLf5uKUTwoA,https://www.youtube.com/user/cnbc
RT,rt,UCpwvZwUam-URkxB7g4USKpg,UUpwvZwUam-URkxB7g4USKpg,https://www.youtube.com/user/RussiaToday
AP,ap,UC52X5wxOL_s5yw0dQk7NtgA,UU52X5wxOL_s5yw0dQk7NtgA,https://www.youtube.com/user/AssociatedPress
NBC News,nbc-news,UCeY0bbntWzzVIaj2z3QigXg,UUeY0bbntWzzVIaj2z3QigXg,https://www.youtube.com/user/NBCNews
The New York Times,the-new-york-times,UCqnbDFdCpuN8CMEg0VuEBqA,UUqnbDFdCpuN8CMEg0VuEBqA,https://www.youtube.com/user/TheNewYorkTimes
PBS NewsHour,pbs-newshour,UC6ZFN9Tx6xh-skXCuRHCDpQ,UU6ZFN9Tx6xh-skXCuRHCDpQ,https://www.youtube.com/user/PBSNewsHour